2.000000, 21.682539, 2222515, 110.695096
2.321337, 97.560763, 2222515, 53.332659
2.518525, 93.831368, 2454766, 64.608842
2.689814, 97.176193, 2710243, 68.640604
2.825220, 129.610952, 2454766, 56.471315
2.939352, 214.857068, 2222515, 44.860892
3.038403, 314.222895, 2011377, 39.202072
3.127745, 248.982475, 2222515, 37.887973
3.222338, 147.466164, 2222515, 44.651149
3.325936, 78.192636, 2710243, 62.071668
3.487993, 46.187344, 2991268, 89.999799
3.726045, 27.281803, 3640434, 126.508947
4.099241, 16.589065, 4425925, 196.223174
4.695759, 7.123144, 4014477, 520.589206
0.023162, 0.016827, 0.000000E+00, 6.334681E-03, 38526081
